"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"39","2019-04-01","Stockpiling frenzy drives UK factories ahead of Brexit - PMI","Factories in Britain stockpiled for Brexit at an explosive rate last month, unlike anything seen before in a major rich economy, pushing manufacturing growth to an unexpected 13-month high, a survey showed on Monday.","stockpiling, frenzy, drives, uk, factories, ahead, brexit, pmi","factories, britain, stockpiled, brexit, explosive, rate, last, month, unlike, anything, seen, major, rich, economy, pushing, manufacturing, growth, unexpected, month, high, survey, showed, monday"
"40","2019-03-29","UK's payments gap widens as global slowdown, Brexit weigh","Britain's balance of payments shortfall grew in the last few months of 2018, exacerbated by disappointing trade numbers as the world economy slowed and Brexit neared.","uk, s, payments, gap, widens, global, slowdown, brexit, weigh","britain, s, balance, payments, shortfall, grew, last, months, exacerbated, disappointing, trade, numbers, world, economy, slowed, brexit, neared"
"41","2019-03-29","UK house prices edge up, London falls again - Nationwide","British house prices picked up only a little bit of speed this month as the approach of Brexit weighed on the housing market, data from mortgage lender Nationwide showed on Friday.","uk, house, prices, edge, london, falls, nationwide","british, house, prices, picked, little, bit, speed, month, approach, brexit, weighed, housing, market, data, mortgage, lender, nationwide, showed, friday"
"42","2019-03-29","UK consumers slow pace of borrowing growth, mortgages fall as Brexit nears","Lending to British consumers grew at its slowest annual pace in four-and-a-half years in February and banks approved fewer mortgages as Brexit approached, Bank of England data showed on Friday.","uk, consumers, slow, pace, borrowing, growth, mortgages, fall, brexit, nears","lending, british, consumers, grew, slowest, annual, pace, four, half, years, february, banks, approved, fewer, mortgages, brexit, approached, bank, england, data, showed, friday"
"43","2019-03-29","UK consumers hold their nerve in Brexit storm: GfK","British consumers maintained their confidence levels in March as a strong labour market countered worries about the political chaos surrounding Britain's departure from the European Union, a survey showed on Friday.","uk, consumers, hold, nerve, brexit, storm, gfk","british, consumers, maintained, confidence, levels, march, strong, labour, market, countered, worries, political, chaos, surrounding, britain, s, departure, european, union, survey, showed, friday"
"45","2019-03-28","UK politicians must stop 'chasing rainbows' on Brexit - BCC","British politicians have let business down over Brexit and must stop ""chasing rainbows"" and instead take politically difficult decisions to find a consensus, the head of one of Britain's main business associations said on Thursday.","uk, politicians, must, stop, chasing, rainbows, brexit, bcc","british, politicians, let, business, brexit, must, stop, chasing, rainbows, instead, take, politically, difficult, decisions, find, consensus, head, one, britain, s, main, business, associations, said, thursday"
"46","2019-03-27","UK retail sales fall most in 17 months as Brexit nears - CBI","British retail sales fell by their most in 17 months in March, reflecting concern among shoppers about Britain's unresolved Brexit impasse, a leading employers group said on Wednesday.","uk, retail, sales, fall, months, brexit, nears, cbi","british, retail, sales, fell, months, march, reflecting, concern, among, shoppers, britain, s, unresolved, brexit, impasse, leading, employers, group, said, wednesday"
"47","2019-03-27","Brexit turmoil hits UK firms' hiring plans - REC","British companies have scaled back sharply their hiring and investment plans amid the growing turmoil around Britain's exit from the European Union, a survey showed on Wednesday.","brexit, turmoil, hits, uk, firms, hiring, plans, rec","british, companies, scaled, back, sharply, hiring, investment, plans, amid, growing, turmoil, around, britain, s, exit, european, union, survey, showed, wednesday"
"48","2019-03-26","British banks approve fewer mortgages in February as Brexit nears - UK Finance","British banks approved fewer mortgages in February than during January, industry data showed on Tuesday.","british, banks, approve, fewer, mortgages, february, brexit, nears, uk, finance","british, banks, approved, fewer, mortgages, february, january, industry, data, showed, tuesday"
"51","2019-03-25","UK economy dodges no-deal Brexit hit, for now","Britain's economy has struggled beneath the weight of Brexit uncertainty for nearly three years, but many business leaders would probably be relieved just to have more of the same for the next few months.","uk, economy, dodges, deal, brexit, hit, now","britain, s, economy, struggled, beneath, weight, brexit, uncertainty, nearly, three, years, many, business, leaders, probably, relieved, just, next, months"
"52","2019-03-21","Bank of England keeps rates on hold as businesses brace for no-deal Brexit","The Bank of England kept interest rates steady on Thursday and said most businesses felt as ready as they could be for a no-deal Brexit that would likely hammer economic growth and jobs.","bank, england, keeps, rates, hold, businesses, brace, deal, brexit","bank, england, kept, interest, rates, steady, thursday, said, businesses, felt, ready, deal, brexit, likely, hammer, economic, growth, jobs"
"53","2019-03-21","UK shoppers keep on spending as Brexit approaches","British retailers racked up surprisingly strong sales last month, reinforcing how spending by consumers is a bright spot for the economy ahead of Brexit.","uk, shoppers, keep, spending, brexit, approaches","british, retailers, racked, surprisingly, strong, sales, last, month, reinforcing, spending, consumers, bright, spot, economy, ahead, brexit"
"54","2019-03-21","UK firms expect to give 2.5 percent basic pay rise this year - XpertHR","British private-sector employers expect to give staff a basic annual pay rise of 2.5 percent this year, the same as in 2018, though some will delay awards until after government Brexit plans are clearer, an industry survey showed on Thursday.","uk, firms, expect, give, percent, basic, pay, rise, year, xperthr","british, private, sector, employers, expect, give, staff, basic, annual, pay, rise, percent, year, though, will, delay, awards, government, brexit, plans, clearer, industry, survey, showed, thursday"
"55","2019-03-20","UK factory order growth slows ahead of Brexit - CBI","British factory order growth slowed in March as businesses fretted over Brexit, though the outlook for exports and future production growth was brighter, the Confederation of British Industry said on Wednesday.","uk, factory, order, growth, slows, ahead, brexit, cbi","british, factory, order, growth, slowed, march, businesses, fretted, brexit, though, outlook, exports, future, production, growth, brighter, confederation, british, industry, said, wednesday"
"56","2019-03-20","UK inflation up, London house prices fall by most since 2009","Britain's main inflation rate ticked up last month but stayed close to January's two-year low, helping consumers maintain their spending power as wage growth also picked up, even though  the timing of Brexit remained uncertain.","uk, inflation, london, house, prices, fall, since","britain, s, main, inflation, rate, ticked, last, month, stayed, close, january, s, two, year, low, helping, consumers, maintain, spending, power, wage, growth, also, picked, even, though, timing, brexit, remained, uncertain"
"57","2019-03-19","UK employers defy approach of Brexit with hiring spree","British employers ramped up their hiring at the fastest pace since 2015 in the three months to January as the labour market defied broader Brexit weakness in the overall economy.","uk, employers, defy, approach, brexit, hiring, spree","british, employers, ramped, hiring, fastest, pace, since, three, months, january, labour, market, defied, broader, brexit, weakness, overall, economy"
"59","2019-03-18","Britons turn more cautious about big spending as Brexit nears - IHS Markit","British households were the most downbeat about their finances in over a year this month and the approach of Brexit made them more cautious about making major outlays, a survey published on Monday showed.","britons, turn, cautious, big, spending, brexit, nears, ihs, markit","british, households, downbeat, finances, year, month, approach, brexit, made, cautious, making, major, outlays, survey, published, monday, showed"
"60","2019-03-18","Brexit spurs biggest cut in UK business investment in 10 years - BCC","British companies look set to cut investment by the most in 10 years in 2019 because of Brexit, even if Prime Minister Theresa May gets a deal to ease the country out of the bloc, an employers group said on Monday.","brexit, spurs, biggest, cut, uk, business, investment, years, bcc","british, companies, look, set, cut, investment, years, brexit, even, prime, minister, theresa, may, gets, deal, ease, country, bloc, employers, group, said, monday"
"61","2019-03-14","UK house price growth weakest since 2011 as Brexit nears - RICS","British house prices are growing at their weakest pace since 2011 as the prospect of Brexit weighs increasingly on the housing market, according to a survey published on Thursday.","uk, house, price, growth, weakest, since, brexit, nears, rics","british, house, prices, growing, weakest, pace, since, prospect, brexit, weighs, increasingly, housing, market, according, survey, published, thursday"
"63","2019-03-14","Hammond says his Brexit fiscal war chest has grown","British finance minister Philip Hammond said he now had 26.6 billion pounds of fiscal ""headroom"" -- which is earmarked for possible increased spending or tax cuts -- up from a previous estimate of 15.4 billion pounds.","hammond, says, brexit, fiscal, war, chest, grown","british, finance, minister, philip, hammond, said, now, billion, pounds, fiscal, headroom, earmarked, possible, increased, spending, tax, cuts, previous, estimate, billion, pounds"
"64","2019-03-14","Hammond offers more spending, lower taxes if a Brexit deal is done","British finance minister Philip Hammond said on Wednesday he could free billions of pounds for extra public spending or tax cuts, as long as parliament resolves its Brexit impasse.","hammond, offers, spending, lower, taxes, brexit, deal, done","british, finance, minister, philip, hammond, said, wednesday, free, billions, pounds, extra, public, spending, tax, cuts, long, parliament, resolves, brexit, impasse"
"66","2019-03-12","UK economy picks up in January but remains in low gear ahead of Brexit","Britain's economy picked up in January after a weak December but the bigger picture remained one of growth stuck in low gear ahead of Brexit, official data showed.","uk, economy, picks, january, remains, low, gear, ahead, brexit","britain, s, economy, picked, january, weak, december, bigger, picture, remained, one, growth, stuck, low, gear, ahead, brexit, official, data, showed"
"67","2019-03-11","Brexit set to hurt UK investment for years - BoE's Haskel","British business investment will probably stay weak for the next few years because of uncertainty linked to Brexit, a Bank of England interest-rate setter said, calling into question suggestions of a Brexit deal ""dividend"" by the finance minister.","brexit, set, hurt, uk, investment, years, boe, s, haskel","british, business, investment, will, probably, stay, weak, next, years, uncertainty, linked, brexit, bank, england, interest, rate, setter, said, calling, question, suggestions, brexit, deal, dividend, finance, minister"
"69","2019-03-08","UK firms hold off on permanent hires as Brexit nears - survey","British employers held off from hiring permanent staff in February, adding to signs of growing nerves ahead of Brexit in the country's otherwise strong labour market, a survey of recruiters showed on Friday.","uk, firms, hold, permanent, hires, brexit, nears, survey","british, employers, held, hiring, permanent, staff, february, adding, signs, growing, nerves, ahead, brexit, country, s, otherwise, strong, labour, market, survey, recruiters, showed, friday"
"70","2019-03-08","BoE most likely to cut rates in a no-deal Brexit - Tenreyro","The Bank of England is more likely to cut interest rates than raise them in the event of a no-deal Brexit, rate-setter Silvana Tenreyro said, the latest BoE official to back the idea of coming to the economy's rescue if it suffers a Brexit shock.","boe, likely, cut, rates, deal, brexit, tenreyro","bank, england, likely, cut, interest, rates, raise, event, deal, brexit, rate, setter, silvana, tenreyro, said, latest, boe, official, back, idea, coming, economy, s, rescue, suffers, brexit, shock"
"71","2019-03-07","Sterling to slide to $1.20 if no Brexit deal agreed - Reuters poll","Sterling would lose around 9 percent of its current value against the dollar and trade at $1.20 in the immediate aftermath of Britain leaving the EU without a deal, a Reuters poll of foreign exchange strategists predicted.","sterling, slide, brexit, deal, agreed, reuters, poll","sterling, lose, around, percent, current, value, dollar, trade, immediate, aftermath, britain, leaving, eu, without, deal, reuters, poll, foreign, exchange, strategists, predicted"
"73","2019-03-06","Bank of England's Saunders sees no rush to raise rates amid Brexit unknowns","The Bank of England should wait and see how Brexit unfolds before deciding its next move on interest rates, given that inflation is ""reasonably well behaved"" and economic growth is modest, rate-setter Michael Saunders said on Wednesday.","bank, england, s, saunders, sees, rush, raise, rates, amid, brexit, unknowns","bank, england, wait, see, brexit, unfolds, deciding, next, move, interest, rates, given, inflation, reasonably, well, behaved, economic, growth, modest, rate, setter, michael, saunders, said, wednesday"
"75","2019-03-05","UK economy near standstill as Brexit approaches, surveys show","Britain's economy came close to stagnating again in February as services companies, preparing for Brexit, cut staff at the fastest rate in more than seven years and consumers reined in their spending, surveys showed on Tuesday.","uk, economy, near, standstill, brexit, approaches, surveys, show","britain, s, economy, came, close, stagnating, february, services, companies, preparing, brexit, cut, staff, fastest, rate, seven, years, consumers, reined, spending, surveys, showed, tuesday"
"76","2019-03-05","UK shoppers slow their spending ahead of Brexit, some stockpile","British consumers reined in their spending in February ahead of  Brexit as shoppers focussed on buying food, including for stock-piling, rather than non-essential items, data released on Tuesday showed.","uk, shoppers, slow, spending, ahead, brexit, stockpile","british, consumers, reined, spending, february, ahead, brexit, shoppers, focussed, buying, food, including, stock, piling, rather, non, essential, items, data, released, tuesday, showed"
"78","2019-03-04","UK construction activity falls for first time in 11 months - PMI","Britain's construction industry reported the first fall in activity in almost a year last month, as Brexit uncertainty and a slow housing market delayed new building projects.","uk, construction, activity, falls, first, time, months, pmi","britain, s, construction, industry, reported, first, fall, activity, almost, year, last, month, brexit, uncertainty, slow, housing, market, delayed, new, building, projects"
"79","2019-03-01","UK factories brace for Brexit, but consumers less worried","British factories are cutting jobs and bracing for Brexit by stockpiling goods at a record pace, but consumers seem less worried, suggesting their spending might help to shore up the economy, data showed on Friday.","uk, factories, brace, brexit, consumers, less, worried","british, factories, cutting, jobs, bracing, brexit, stockpiling, goods, record, pace, consumers, seem, less, worried, suggesting, spending, might, help, shore, economy, data, showed, friday"
"80","2019-03-01","UK borrowers, defying Brexit nerves, regain appetite for credit","LONDON - British households took out more mortgages and increased their borrowing in January, adding to signs that consumers are less worried about Brexit than many businesses, Bank of England data showed.","uk, borrowers, defying, brexit, nerves, regain, appetite, credit","london, british, households, took, mortgages, increased, borrowing, january, adding, signs, consumers, less, worried, brexit, many, businesses, bank, england, data, showed"
"83","2019-02-28","UK consumers show 'amazing' stoicism before Brexit - GfK","British households are showing ""amazing"" stoicism as the country heads for Brexit, a market research company said on Thursday as its measure of consumer confidence edged up in February.","uk, consumers, show, amazing, stoicism, brexit, gfk","british, households, showing, amazing, stoicism, country, heads, brexit, market, research, company, said, thursday, measure, consumer, confidence, edged, february"
"84","2019-02-28","UK house prices remain sluggish as Brexit nears - Nationwide","British house prices rose by 0.4 percent in annual terms in February, only a small pick-up after they stagnated in January as the approach of Brexit weighs on the economy, data from mortgage lender Nationwide showed on Thursday.","uk, house, prices, remain, sluggish, brexit, nears, nationwide","british, house, prices, rose, percent, annual, terms, february, small, pick, stagnated, january, approach, brexit, weighs, economy, data, mortgage, lender, nationwide, showed, thursday"
"85","2019-02-27","UK employers' confidence in economy slides before Brexit - REC","British employers' confidence in the economy has fallen sharply ahead of Brexit, hammering hiring and investment intentions, an industry survey showed on Wednesday.","uk, employers, confidence, economy, slides, brexit, rec","british, employers, confidence, economy, fallen, sharply, ahead, brexit, hammering, hiring, investment, intentions, industry, survey, showed, wednesday"
"86","2019-02-26","Bank of England likely to help economy after no-deal Brexit - Carney","Bank of England Governor Mark Carney said on Tuesday the BoE would probably give more support to the economy if it suffers the shock of a no-deal Brexit, but that the options available to the British central bank would be limited.","bank, england, likely, help, economy, deal, brexit, carney","bank, england, governor, mark, carney, said, tuesday, boe, probably, give, support, economy, suffers, shock, deal, brexit, options, available, british, central, bank, limited"
"88","2019-02-25","UK services industry gloomiest since 2009 crisis - CBI","Britain's services industry is its gloomiest since the 2009 financial crisis, due to an ""unmistakably negative"" impact from Brexit uncertainty, the Confederation of British Industry said on Monday.","uk, services, industry, gloomiest, since, crisis, cbi","britain, s, services, industry, gloomiest, since, financial, crisis, due, unmistakably, negative, impact, brexit, uncertainty, confederation, british, industry, said, monday"
"90","2019-02-22","UK public inflation expectations match 5-year high - Citi/YouGov","The British public's expectations for inflation over the next 12 months jumped in February to their joint-highest level in five years, possibly due to fears about the effects of Brexit on prices, a monthly survey for U.S. bank Citi showed on Friday.","uk, public, inflation, expectations, match, year, high, citi, yougov","british, public, s, expectations, inflation, next, months, jumped, february, joint, highest, level, five, years, possibly, due, fears, effects, brexit, prices, monthly, survey, u, s, bank, citi, showed, friday"
"91","2019-02-22","UK retailers curb investment plans ahead of Brexit - CBI","British retailers plan the least investment in seven years ahead of the country's departure from the European Union, and job cuts in the sector have gathered pace, a major survey showed on Friday.","uk, retailers, curb, investment, plans, ahead, brexit, cbi","british, retailers, plan, least, investment, seven, years, ahead, country, s, departure, european, union, job, cuts, sector, gathered, pace, major, survey, showed, friday"
"92","2019-02-22","No-deal Brexit would take a chip off UK home values - Reuters poll","Britain's over-valued housing market will undergo a modest correction if the country leaves the European Union at the end of next month without a deal, a Reuters poll found, with London being affected to a greater degree.","deal, brexit, take, chip, uk, home, values, reuters, poll","britain, s, valued, housing, market, will, undergo, modest, correction, country, leaves, european, union, end, next, month, without, deal, reuters, poll, found, london, affected, greater, degree"
"93","2019-02-21","Remain or leave? Carmakers confront hard Brexit choices","In three cavernous former Royal Air Force hangars at an old airbase in Wales, luxury carmaker Aston Martin is forging ahead with construction of a new vehicle assembly plant.","remain, leave, carmakers, confront, hard, brexit, choices","three, cavernous, former, royal, air, force, hangars, old, airbase, wales, luxury, carmaker, aston, martin, forging, ahead, construction, new, vehicle, assembly, plant"
