"","Headline","Description","Date"
"13","UK employers fear Brexit hit to economy, but plan more hiring - REC","British employers are their most worried about the economy since the 2016 Brexit referendum, but they also plan to hire extra staff, according to a survey that showed the surprising strength of the jobs market.","2019-04-24"
"14","Talks with Labour on Brexit are serious but difficult, May tells ministers","Prime Minister Theresa May told her top team of ministers on Tuesday that talks with the Labour Party aimed at finding a way forward on Brexit were serious but difficult in some areas, her spokesman said.","2019-04-23"
"15","EU watchdogs give banks no leeway on Brexit-driven hub demands","European Union regulators are refusing to cut British-based banks any slack over bulking up in the bloc in preparation for Brexit, despite an extension to the process which some have taken as an opportunity to drag their feet.","2019-04-23"
"16","EU still sees no reworking of Brexit deal","The European Commission again ruled out on Tuesday any reopening of the withdrawal treaty negotiated with Britain last year after a media report in London that Prime Minister Theresa May had asked aides to review alternative arrangements for the Irish border.","2019-04-23"
"17","UK government focused on passing Brexit law, talks with Labour Party continue - spokesman","Prime Minister Theresa May's government is focused on passing the law it needs to ratify Britain's exit from the European Union, May's spokesman said on Tuesday.","2019-04-23"
"18","RBS tops up small business support fund, downplays Brexit effect","British state-controlled lender the Royal Bank of Scotland has doubled its funding pot to support small businesses to 6 billion pounds ($7.8 billion), but says the extra cash is no longer primarily for Brexit-proofing businesses.","2019-04-23"
"19","EU's Juncker: there is still a risk of no-deal Brexit despite delay","There is a still a concern that Britain may leave the European Union without a deal to smooth the way, the bloc's chief executive said on Saturday, urging Britain to take advantage of a six-month delay to work out the details of its departure.","2019-04-20"
"20","Brexit inertia means London's finance workers face summer slump","The weeks before Easter are usually some of the busiest of the year for bankers, lawyers and consultants in the City of London, as clients rush to get deals done before a run of public holidays.","2019-04-18"
"21","UK lenders see big drag from house prices on mortgages: BoE","British lenders think a slowdown in house prices will exert the biggest drag since 2012 on how many mortgages they offer, a Bank of England survey showed on Thursday, as Brexit uncertainty continues to depress the market.","2019-04-18"
"22","Brexit stalls investments by sovereign wealth funds in Britain","Britain has long been a favoured playground for sovereign wealth funds from around the world to snap up glitzy skyscrapers, banking stakes and posh department stores.","2019-04-18"
"23","UK should 'cool down', drop Brexit - Socialist candidate to head EU Commission"," (This April 17 story was refiled to add name of debate host)","2019-04-18"
"24","No Brexit more likely than a disorderly one, say economists","The chances that Brexit will be cancelled are now greater than the chances Britain will leave the European Union without a deal, according to economists in a Reuters poll, who again pushed back their expectations for when the Bank of England will raise interest rates.","2019-04-18"
"25","Pelosi reaffirms U.S. support for Ireland amid Brexit impasse","The United States would not agree to any trade deal with Britain if future Brexit arrangements undermine peace in Ireland, U.S. House of Representatives Speaker Nancy Pelosi said on Wednesday during a visit to Dublin.","2019-04-17"
"26","Farage's Brexit Party to top EU elections in Britain - poll","Nigel Farage's Brexit Party will top next month's election in Britain for the European parliament with 27 percent of the vote, far ahead of Prime Minister Theresa May's Conservatives, according to a survey published on Wednesday.","2019-04-17"
"27","EU's Tusk says 'dream' of Brexit U-turn not dead","EU summit chair Donald Tusk on Tuesday called on Tuesday for the ""dream"" that Britain might give up on leaving the European Union not to be dismissed and urged politicians not to let exhaustion with Brexit negotiations make for a hasty exit.","2019-04-16"
"28","Labour Party denies newspaper report UK Brexit talks stalled","The Labour Party denied a Guardian newspaper report on Tuesday that Brexit talks with Prime Minister Theresa May's government had stalled.","2019-04-16"
"29","EU's Juncker says up to the UK when to leave","It's up to Britain when it chooses to exit the European Union, the bloc's chief executive said on Tuesday, adding that it was not his working assumption that Brexit could be reversed or extended beyond a new Oct. 31 deadline.","2019-04-16"
"30","Brexit-bound UK tops global ranking for M&A appeal - survey","The United Kingdom has defied the uncertainty over Brexit to land the number one spot in a ranking of how attractive countries are for business investors over the coming year, according to a survey published on Monday.","2019-04-15"
"31","An unlikely casualty of a hard Brexit - Turkey's exports","The threat of a hard British exit from the European Union looms large over a country that has a big stake in the process but no official say: Turkey.","2019-04-15"
"32","UK businesses stash cash as Brexit gloom deepens - Deloitte","A growing number of large British-based businesses are prioritising cashflow, fearing a downturn, as their view of the long-term economic impact of Brexit has darkened to its most negative so far, accountancy firm Deloitte said on Monday.","2019-04-15"
"33","May says no-deal Brexit planning continues - spokesman","Prime Minister Theresa May has said the government will continue to plan for the possibility of a no-deal Brexit, her spokesman said on Monday.","2019-04-15"
"34","Factbox - Brexit delayed: What happens next?","Britain's exit from the European Union was postponed by a late night agreement in Brussels last week that gave Prime Minister Theresa May until Oct 31 to persuade parliament to approve the terms of the country's departure.","2019-04-15"
"35","Brexit talks with Labour more constructive than people think - Hunt","Talks between the British government and the opposition Labour Party to find consensus over a Brexit plan are more constructive than people think, Britain's Foreign Secretary Jeremy Hunt said on Monday.","2019-04-15"
"36","UK property asking prices rise, Brexit delay could spur buyers - Rightmove","Asking prices for British homes rose by the most in over a year in the four weeks to April 6, a survey showed, adding to other tentative signs that the housing market may have passed the worst of its slowdown ahead of Brexit.","2019-04-15"
"37","Hunt tells Japan's PM Britain determined to avoid no-deal Brexit","British foreign minister Jeremy Hunt reassured Japanese Prime Minister Shinzo Abe on Monday that the British government was determined to avoid a no-deal exit from the European Union.","2019-04-15"
"38","Hunt to offer Brexit reassurance to carmaker Toyota","British foreign minister Jeremy Hunt will on Monday seek to reassure Japanese carmaker Toyota that the government is focused on avoiding a no-deal exit from the European Union and ensuring tariff-tree trade between Britain and the EU.","2019-04-15"
"39","Brexit cannot define us, says PM May's deputy as ratings dip","Britain's ruling Conservative Party cannot let itself be defined solely by Brexit, Prime Minister Theresa May's de facto deputy said on Sunday, as polling showed failure to leave the European Union on schedule has badly damaged its support.","2019-04-14"
"40","UK parliament very likely to consider new Brexit referendum - Hammond","The idea of a second Brexit referendum is very likely to be put before Britain's parliament again although the government remains opposed to any new plebiscite, the British finance minister said on Friday.","2019-04-14"
"41","Lidington says Brexit talks with Labour to continue, will not last months","The British government's talks with the opposition Labour party on a Brexit compromise will continue, but will not ""drag out"" for months, Cabinet Office minister David Lidington told the BBC on Sunday.","2019-04-14"
"42","Highlights: Hammond talks about Brexit, the BoE and PM May's successor","British finance minister Philip Hammond said on Friday it was very likely that the idea of a second Brexit referendum would be put to parliament at some point, but time was tight before October when Britain is due to leave the European Union.","2019-04-12"
"43","Brexit black hole: Divorce implosion, deal, or election?","The United Kingdom now has until Oct. 31 to leave the European Union but the British political elite is still squabbling over how, when or if to Brexit.","2019-04-12"
"44","Brexit talks positive and constructive, Labour's McDonnell says","Talks between Prime Minister Theresa May's government and the opposition Labour Party on Brexit are constructive and positive, Labour finance spokesman John McDonnell said on Friday.","2019-04-12"
"45","Watch out parliament, Farage warns at launch of new Brexit Party","Nigel Farage, one of the leaders of a campaign to leave the European Union, launched a new Brexit Party on Friday, promising to put ""the fear of God"" into lawmakers he accused of betraying Britain's decision to quit the bloc.","2019-04-12"
"46","In tourist-hungry Portugal, Brexit means 'Brelcome'","Haunted by the idea that Brexit may affect Portugal's booming tourism industry, a government agency has launched a campaign to say ""Brelcome"" to the thousands of British visitors who choose the country as a holiday destination.","2019-04-12"
"47","IMF chief says Brexit delay averts 'terrible outcome'","The six-month delay of Britain's exit from the European Union avoids the ""terrible outcome"" of a ""no-deal"" Brexit that would further pressure a slowing global economy but does nothing to lift uncertainty over the final outcome, the head of the International Monetary Fund said on Thursday.","2019-04-12"
"48","EU stands together to avoid no-deal Brexit, German minister says","The latest European Union decision to grant Britain a further Brexit extension shows that European leaders are able to find a common solution, Germany's Economy Minister Peter Altmaier said on Friday.","2019-04-12"
"49","BoE's Carney says UK needs time to find Brexit consensus","British politicians could now take some time to find a way forward on Brexit, Bank of England Governor Mark Carney said on Thursday, after Prime Minister Theresa May agreed a delay of up to six months before leaving the European Union.","2019-04-11"
"50","Macron tests German patience in split over Brexit delay","The 'De Gaulle moment' that many had speculated about before Wednesday night's Brexit summit did not come, but President Emmanuel Macron still lived up to the spirit of the post-war French leader by throwing his weight around the EU table.","2019-04-11"
"51","May defends Brexit delay, critic asks her to resign","British Prime Minister Theresa May defended her decision to delay Brexit and seek a compromise exit plan with the opposition Labour Party as one angry lawmaker from her own party stood up in parliament on Thursday and asked her to resign.","2019-04-11"
"52","May and Labour leader held talks on breaking Brexit deadlock","British Prime Minister Theresa May and opposition Labour leader Jeremy Corbyn held talks in parliament on Thursday aimed at finding a way out the Brexit impasse.","2019-04-11"
"53","What happens after Oct. 31? Some in EU already imagine another Brexit delay","The ink was not yet dry on EU leaders' deal to give Britain a hard-fought, second delay to Brexit until November when some diplomats and officials in the bloc grudgingly conceded: This may well not be the last extension.","2019-04-11"
"54","May evoked Blitz spirit to show EU Brexit progress","Theresa May told fellow European Union leaders that she was taking emergency political measures not seen in Britain since World War Two as she urged them to give her more time to clinch a deal for an orderly Brexit.","2019-04-11"
"55","EU gives May till October for Brexit, seeking clarity","European Union leaders gave Britain six more months to leave the bloc, more than Prime Minister Theresa May says she needs but less than many in the bloc wanted, thanks to fierce resistance from France.","2019-04-11"
"56","Germany: Brexit extension shouldn't be seen as chance to reopen negotiations","The European Union leaders' decision to give Britain an extra six months to leave the bloc should not be misunderstood as creating new leeway for negotiating the Withdrawal Agreement, German Foreign Minister Heiko Maas said on Thursday.","2019-04-11"
"57","With Halloween the new Brexit deadline, MPs head off on holiday","After the European Union agreed to delay Brexit by six months to end-October, European Council President Donald Tusk pleaded with Britain: ""don't waste this time"". Hours later, British lawmakers are heading off for a more than week-long Easter break.","2019-04-11"
"58","May willing to talk about an EU customs union - minister","British Prime Minister Theresa May's government is willing to discuss a possible customs union with the European Union in talks with the opposition Labour Party to end the Brexit impasse, a government minister was quoted as saying.","2019-04-11"
"59","Explainer: Can anyone force May to resign?","British Prime Minister Theresa May faces increased pressure to quit after failing to lead the country out of the European Union on schedule, with members of her own Conservative Party calling for a more pro-Brexit replacement.","2019-04-11"
"60","DUP leader Foster says Irish ""backstop"" still critical issue","Finding a solution for the Irish border after Britain leaves the European Union remains a critical issue for Northern Ireland's Democratic Unionist Party, its leader said on Thursday after meeting the EU's Brexit negotiator in Brussels.","2019-04-11"
"61","Brexit will happen by end-October - Irish finance minister","Ireland's finance minister said he believes Britain will leave the European Union when the latest extension to Brexit talks expires at the end of October and that the country must continue to prepare for all scenarios.","2019-04-11"
"62","Britain should decide on Brexit options by October - EU's Verhofstadt","Britain should scrap its decision to leave the European Union, agree a deal with the Labour Party or launch a second referendum on the issue, the European Parliament's Brexit coordinator said on Thursday, hours after the bloc set an October deadline for its withdrawal.","2019-04-11"
"63","German Economy Minister - Brexit extension is good news for all of us","German Economy Minister Peter Altmaier said on Thursday that European Union leaders' decision to give Britain an extra six months to leave the bloc was a good move and would enable the bloc to focus on other pressing issues.","2019-04-11"
"64","German conservative - A longer Brexit extension would have been better","A longer Brexit extension would have been better, a senior German conservative said on Thursday, after European Union leaders gave Britain six more months to leave the bloc.","2019-04-11"
"65","Additional Brexit extension possible, says EU's Oettinger","A second referendum on Britain's withdrawal from the European Union, snap elections, and an additional Brexit extension are among the possible options for Britain, EU Commissioner Guenther Oettinger said on Thursday.","2019-04-11"
"66","EU's Tusk tells UK - ""Don't waste Brexit overtime""","European Council President Donald Tusk told Britain on Thursday not to waste the extra time to sort out Brexit after the EU agreed a second delay to London's departure until Oct.31.","2019-04-11"
"67","No-deal Brexit remains possible, says French government spokeswoman","A ""no-deal"" Brexit remains a possibility, French government spokeswoman Sibeth Ndiaye told French TV station CNews on Thursday.","2019-04-11"
"68","Merkel says October deadline gives best chance for orderly Brexit","German Chancellor Angela Merkel said on Thursday that the extension of Britain's exit from the European Union until the end of October gave the best chance of an orderly Brexit.","2019-04-11"
"69","France's Macron stands by tough stance on shorter Brexit delay","French President Emmanuel Macron said on Thursday he took responsibility for blocking a long Brexit delay and convincing other European Union leaders to agree to a shorter one in order to preserve the functioning of the EU.","2019-04-11"
"70","Brexit - German minister says all options for Britain on the table","Germany's EU Affairs Minister Michael Roth said on Thursday all options are on the table for Britain after European Union leaders gave London six more months to leave the bloc.","2019-04-11"
"71","Acknowledging frustration, May calls on parliament to deliver Brexit","British Prime Minister Theresa May acknowledged on Thursday there was ""huge frustration"" that she had to request a second delay to Brexit from the European Union, urging parliament to finally support her Brexit deal.","2019-04-11"
"72","New Brexit delay is likely to be the last - Dutch PM Rutte","A further delay of Britain's departure from the EU after the newly agreed deadline of Oct. 31 looks very unlikely, Dutch Prime Minister Mark Rutte said on Thursday.","2019-04-11"
"73","EU's Juncker sure UK would honour good cooperation rules during Brexit lag","European Commission President Jean-Claude Juncker said he was certain Britain would honour the ""sincere cooperation"" obligation and would in any case have little power to block key EU decisions on its own during a second Brexit lag until Oct. 31.","2019-04-11"
"74","Irish PM says UK would crash out June 1 without EU elections","Irish Prime Minister Leo Varadkar said on Thursday the United Kingdom would crash out of the EU on June 1 if it failed to hold European Parliament elections during a Brexit extension granted until the end of October, 2019.","2019-04-11"
"75","EU27/UK agree to Brexit extension until Oct 31 - EU's Tusk","Leaders of the 27 countries remaining in the European Union and British Prime Minister Theresa May have agreed to extend Britain's date of departure from the bloc until October 31, the chair of EU summits said in a tweet on Thursday.","2019-04-11"
"76","Trump congratulates Israel's Netanyahu on election victory","U.S. President Donald Trump phoned Israeli Prime Minister Benjamin Netanyahu on Wednesday to congratulate him on his re-election, and Netanyahu said he thanked his ally for ""tremendous support for Israel.""","2019-04-10"
"77","EU27 leaders agree Brexit extension - summit chair Tusk","The leaders of the 27 EU countries remaining in the European Union have agreed to an extension of Brexit, the chairman of EU summits said in a tweet on Thursday.","2019-04-10"
"78","PM May not close to breaking Brexit deadlock with opposition - Labour's McDonnell","Talks between British Prime Minister Theresa May's government and the opposition Labour Party are not close to breaking the Brexit deadlock, Labour's finance spokesman John McDonnell said on Wednesday.","2019-04-10"
"79","EU leaders agree Brexit delay until October: diplomats","EU leaders agreed on Thursday to delay Brexit until the end of October, with a review in June, diplomatic sources told Reuters.","2019-04-10"
"80","Customs union with EU wouldn't work for Britain, foreign minister Hunt says","A customs union with the European Union would not work for Britain's economy if it restricted its ability to influence trade policy and strike deals independently, foreign minister Jeremy Hunt said on Wednesday.","2019-04-10"
"81","Snap! Jolly Merkel breaks Brexit summit ice with May","Angela Merkel says she is determined that Brexit must not poison relations between Britain and the European Union and went out of her way at a crisis summit on Wednesday to show her lighter side to Theresa May.","2019-04-10"
"82","Macron speaks against long Brexit delay at EU summit - diplomats","French President Emmanuel Macron told his European Union peers on Wednesday any Brexit delay beyond June 30 would undermine the bloc, diplomatic sources said.","2019-04-10"
"83","Brexit delay could extend term of Juncker Commission - EU official","European Union officials are considering an extension of the EU commission's mandate should Britain be granted a long delay to its planned exit date, a senior official said on Wednesday.","2019-04-10"
"84","No-deal Brexit not the worst option, French official says","A departure of Britain from the EU without a deal might be preferable than obstruction of EU operations by the British if they were to remain a member against their will, a spokesman for French President Emmanuel Macron said on Wednesday.","2019-04-10"
"85","EU steps up defences against British meddling during Brexit extension - draft","European Union will have more meetings without Britain and will demand the country refrains from undermining the bloc ""in particular when participating in the decision-making processes"" during an extension, according to updated draft conclusions.","2019-04-10"
"86","PM May open to longer Brexit delay if it can be cut short - EU officials","Prime Minister Theresa May signalled to other EU leaders on Wednesday she was open to accepting a longer Brexit delay if she could cut it short, EU officials said, describing her performance at a summit as ""more solid than usual"".","2019-04-10"
"87","UK watchdog 'can't rule out' matching EU no-deal Brexit share trading curb","Britain's markets watchdog said it could not rule out introducing curbs on where stocks can be traded in the event of a no-deal Brexit.","2019-04-10"
"88","Highlights: EU leaders meet to give Britain second Brexit delay under conditions","European Union leaders meet in Brussels on Wednesday to grant Britain a second Brexit delay, with France pushing the hardest demands on London among the 27 states staying on together in the bloc.","2019-04-10"
"89","Macron says long Brexit delay shouldn't be taken for granted","French President Emmanuel Macron said on Wednesday he was impatient to hear more from Prime Minister Theresa May on why European Union leaders should grant Britain an extension to the Brexit negotiation period.","2019-04-10"
"90","May says she aims to secure delay for orderly Brexit","Prime Minister Theresa May said on Wednesday she was asking EU leaders to delay the Brexit deadline to June 30 so she could get approval from parliament for her deal and ensure Britain leaves the European Union in an orderly way.","2019-04-10"
"91","Germany, France back shorter Brexit delay ahead of EU summit - document","Germany, France, Luxembourg and the EU's Brexit negotiator Michel Barnier favoured a shorter delay to Britain's departure from the bloc in talks on the eve of a summit of EU leaders in Brussels, a document seen by Reuters showed.","2019-04-10"
"92","Merkel favours giving UK ""reasonable amount of time"" to resolve Brexit","Britain should be given a reasonable amount of time to work out its exit from the European Union, though the delay to Brexit could be longer than British Prime Minister Theresa May has requested, German Chancellor Angela Merkel said on Wednesday.","2019-04-10"
"93","EU should help Britain to achieve orderly Brexit - Germany's Scholz","The European Union should help Britain reach an agreement for an orderly Brexit, German Finance Minister Olaf Scholz told Reuters in an interview on Wednesday, adding that he hoped a chaotic departure from the bloc could be averted.","2019-04-10"
"94","Belgian PM Michel says Brexit delay remains uncertain","Belgian Prime Minister Charles Michel said it remained unclear whether Britain would receive an extension on the deadline for its withdrawal from the bloc ahead of a meeting of EU leaders on Wednesday to discuss Brexit.","2019-04-10"
"95","May says view on second Brexit referendum has not changed","British Prime Minister Theresa May said on Wednesday her opposition to holding a second Brexit referendum had not changed, but she expected some lawmakers may try to push for one during the process of ratifying her EU exit deal.","2019-04-10"
"96","Dutch PM Rutte says he spoke to Theresa May ahead of EU summit","Dutch Prime Minister Mark Rutte said in a tweet he had spoken to British counterpart Theresa May ahead of an emergency European Council summit on Wednesday at which the bloc's leaders will discuss a second delay to Brexit.","2019-04-10"
"97","Austria says any further Brexit extension must be for clear reason","Any further extension of the period leading up to Britain's departure from the European Union should be for a clear reason, Austria's minister for European affairs Gernot Bluemel said on Wednesday.","2019-04-10"
"98","Denmark's PM to push for longer extension to Brexit delay","Denmark's prime minister said he would recommend a long extension to Brexit, a delay to which is expected to be granted to the UK by EU leaders at an emergency summit on Wednesday.","2019-04-10"
"99","Britain's Brexit minister says - I don't want a long delay","Prime Minister Theresa May's Brexit minister said on Wednesday he did not want Britain's departure from the European Union to be delayed for up to a year but indicated he would accept one if it was flexible enough to allow an earlier exit.","2019-04-10"
"100","Germany's Scholz says still confident UK parliament will OK Brexit deal - CNBC","German Finance Minister Olaf Scholz told CNBC he was ""still confident"" that the UK parliament will agree on a Brexit deal, adding that talks between the UK government and the opposition Labour Party were good for both Europe and Britain.","2019-04-10"
"101","EU to agree Brexit delay but France pushes for conditions","European Union leaders will grant Prime Minister Theresa May a second delay to Brexit but they could demand she accepts a much longer extension as France pushed for conditions to limit Britain's ability to undermine the bloc.","2019-04-09"
"102","Labour's Corbyn met DUP's Dodds to try to break Brexit deadlock - Daily Mirror","Britain's Labour Party leader Jeremy Corbyn met Northern Irish Democratic Unionist Party (DUP)'s deputy leader Nigel Dodds, the DUP's lawmaker Sammy Wilson on Tuesday as part of the opposition party's talks with MPs to break Brexit deadlock, the Daily Mirror reported on Tuesday.","2019-04-09"
"103","Finance minister says lawmakers might revoke Brexit to prevent no deal -Telegraph","British finance minister Philip Hammond raised the prospect of lawmakers revoking Article 50 this week rather than allowing Britain to leave the European Union without a deal if talks collapse, the Telegraph reported on Tuesday.","2019-04-09"
"104","May considering plan to let lawmakers work out Brexit deal if talks fail - report","British Prime Minister Theresa May is considering a new plan to introduce legislation that would allow lawmakers to thrash out a compromise Brexit deal among themselves, if talks with the opposition Labour party fail, The Guardian reported on Tuesday.","2019-04-09"
"105","Second Brexit delay could last until end-March 2020 - EU official","The European Union's second Brexit delay could go on until March 30, 2020, an official with the bloc said, as 27 national envoys were preparing for a leaders' summit on Wednesday that is due to decide on the matter.","2019-04-09"
"106","U.S. Treasury Secretary says U.S. preparing for 'hard Brexit'","U.S. Treasury Secretary Steven Mnuchin on Tuesday told lawmakers the Trump administration is preparing for the possibility of a ""hard Brexit"".","2019-04-09"
"107","EU to agree further Brexit delay but could kick UK out on June 1 - draft","The European Union will grant Britain another delay to Brexit on certain conditions, including that it holds European Parliament elections, according to a draft statement by the bloc's national leaders, who are due to decide on the matter on Wednesday.","2019-04-09"
"108","PM May outlines to France's Macron talks with opposition Labour Party","British Prime Minister Theresa May updated French President Emmanuel Macron on discussions with the opposition Labour Party aimed at finding a way out the Brexit impasse, her office said on Tuesday.","2019-04-09"
"109","EU's Tusk proposes Brexit delay up to one year, with early exit option","The chairman of European Union leaders Donald Tusk proposed on Tuesday to offer Britain an extension of the Brexit deadline by up to one year, with the option of leaving earlier, if only Britain ratifies the existing withdrawal agreement.","2019-04-09"
"110","Labour sees no clear shift in May's Brexit position","The Labour Party said it had not yet seen a clear shift in Prime Minister Theresa May's position after talks with the government on Tuesday aimed at finding a way out the Brexit impasse.","2019-04-09"
"111","MPs approve May's plan to seek Brexit delay to June 30","MPs on Tuesday approved Prime Minister Theresa May's plan to seek to delay Britain's exit from the European Union to June 30 while she tries to reach a compromise with the opposition Labour Party to get her deal through parliament.","2019-04-09"
"112","Parliament endorses May's Brexit delay request","MPs endorsed Prime Minister Theresa May's request to the European Union to delay Brexit until June 30 at a vote in parliament on Tuesday, adding weight to the pitch she will make to EU leaders in Brussels.","2019-04-09"
"113","Government says Tuesday talks with Labour were productive","Talks between Prime Minister Theresa May's government and the Labour party on Tuesday to find a way out of Britain's Brexit impasse were wide-ranging and productive and will continue on Thursday, a spokesman for May said.","2019-04-09"
"114","Weary EU set to give yet more time for Brexit","Brexit will not be on Friday, EU leaders will confirm when they meet Prime Minister Theresa May at another crisis summit on Wednesday, but diplomats said they are still wrestling on how long it might be delayed and under what conditions.","2019-04-09"
"115","German village could become EU's geographic midpoint post-Brexit","With the clock ticking down to Brexit, a tiny German village is preparing to take centre stage as it becomes the new geographical centre of the European Union when Britain leaves the bloc.","2019-04-09"
"116","Talks with Labour will go on as long as deal on Brexit is in sight - PM's spokesman","Talks between Britain's government and the opposition Labour Party on finding a way forward on Brexit will continue as long as both sides engage and there is a prospect of a deal, Prime Minister Theresa May's spokesman said on Tuesday.","2019-04-09"
"117","Brexit delay to May 22 might not be sufficient for May to pass deal - solicitor general","Britain cannot be certain that delaying Brexit to May 22 would provide enough time to ratify Prime Minister Theresa May's Brexit deal, the government's Solicitor General Robert Buckland said on Tuesday.","2019-04-09"
"118","France certainly open to Brexit extension, Irish PM says","Ireland's prime minister expressed confidence that his French counterpart was open to offering Britain an extension to Brexit talks after the pair met last week, but that President Emmanuel Macron favoured setting strict conditions.","2019-04-09"
"119","One-year Brexit delay too long for France - Macron aide","A delay to Brexit of one year would be too long, a French presidency official said on Tuesday, adding that London should not be able to negotiate Britain's future relationship with the European Union while inside the bloc.","2019-04-09"
"120","Brexit fog worse than no-deal risk - Belgian port chief","Uncertainty over Britain's departure from the European Union is worse than the prospect of a ""no deal"" Brexit just days away, according to the head of the port of Zeebrugge.","2019-04-09"
"121","France seeks safeguards against UK obstructing EU decision-making - official","Britain should not be allowed to take part in European Union budget talks or choosing the next head of the European Commission if it takes part in next month's elections because of a delay to Brexit, a French presidency official said on Tuesday.","2019-04-09"
"122","Brexit puts end in sight for Theresa May","The beginning of the end of Theresa May's Brexit strategy was an emotional address to the nation in which she blamed parliament for the delay in Britain's departure from the European Union.","2019-04-09"
"123","UK economy to lose 3.5 percent of GDP in no-deal Brexit - IMF","Britain will suffer economic damage equivalent to the loss of at least 2-3 years of normal growth between now and the end of 2021 if it leaves the European Union without an exit deal, the International Monetary Fund warned on Tuesday.","2019-04-09"
"124","Government and Labour to discuss customs union in latest Brexit talks - McDonnell","The Labour Party will discuss the prospect of customs union with the EU in talks with the government on finding a Brexit compromise on Tuesday, said John McDonnell, its finance policy chief.","2019-04-09"
"125","May outlines steps to secure 'successful' Brexit with Germany's Merkel","Prime Minister Theresa May outlined to German Chancellor Angela Merkel the steps she was taking to bring ""the Brexit process to a successful conclusion"" and on discussions with the opposition Labour Party, a spokeswoman said on Tuesday.","2019-04-09"
"126","Barnier - EU ready for Brexit delay, length depends on British argument","The European Union hopes cross-party talks in London will yield a majority in the House of Commons for the stalled Brexit deal and is willing to grant more time to achieve that, the EU's chief negotiator Michel Barnier said.","2019-04-09"
"127","May will point to Labour talks to unlock Brexit delay - spokesman","Prime Minister Theresa May will tell EU leaders she is asking for an extension to press on with talks with the Labour Party to secure approval in parliament for her Brexit deal, her spokesman said on Tuesday.","2019-04-09"
"128","Germany dismisses reports Merkel would time-limit Brexit backstop","A German government spokesman dismissed as ""without any foundation"" reports that Chancellor Angela Merkel was prepared to limit to five years the so-called backstop that would prevent a hard border in Ireland after Brexit.","2019-04-09"
"129","Britain's Leadsom hopes Merkel reopens Brexit withdrawal agreement","A senior Brexiteer in Prime Minister Theresa May's government said on Tuesday that she hoped German leader Angela Merkel would agree to reopen the Withdrawal Agreement to get a Brexit divorce deal passed by the British parliament.","2019-04-09"
"130","EU open to Brexit extension but PM May needs clear plan","European Union ministers said on Tuesday the bloc was ready to grant Britain a second Brexit delay but that British Prime Minister Theresa May must come up with a clear plan of how to ratify the stalled divorce deal in the overtime.","2019-04-09"
"131","EU needs to know why Britain wants Brexit extension, what role it will play - France","The European Union must understand what Britain wants to achieve during its requested extension of the Brexit deadline and what role it wants to play in the EU during that time before the EU can grant the delay, French EU minister Amélie de Montchalin said.","2019-04-09"
"132","France needs credible way out of Brexit crisis to grant delay - Le Maire","Prime Minister Theresa May must present a clear and credible way out of the turmoil surrounding Britain's exit from the European Union for France to accept a delay, French Finance Minister Bruno Le Maire said on Tuesday.","2019-04-09"
