"","Headline","Description","Date"
"61","UK house price growth weakest since 2011 as Brexit nears - RICS","British house prices are growing at their weakest pace since 2011 as the prospect of Brexit weighs increasingly on the housing market, according to a survey published on Thursday.","2019-03-14"
"62","UK cuts growth forecast for 2019 - Hammond","Britain has lowered its official forecast for economic growth in 2019, finance minister Philip Hammond said on Wednesday as he delivered a half-yearly budget update.","2019-03-14"
"63","Hammond says his Brexit fiscal war chest has grown","British finance minister Philip Hammond said he now had 26.6 billion pounds of fiscal ""headroom"" -- which is earmarked for possible increased spending or tax cuts -- up from a previous estimate of 15.4 billion pounds.","2019-03-14"
"64","Hammond offers more spending, lower taxes if a Brexit deal is done","British finance minister Philip Hammond said on Wednesday he could free billions of pounds for extra public spending or tax cuts, as long as parliament resolves its Brexit impasse.","2019-03-14"
"65","Student loan changes risk nearly half UK's fiscal headroom - OBR","Changes in how student loans are accounted could make it harder for Britain to balance the budget by the mid-2020s, Britain's Office for Budget Responsibility said on Wednesday.","2019-03-14"
"66","UK economy picks up in January but remains in low gear ahead of Brexit","Britain's economy picked up in January after a weak December but the bigger picture remained one of growth stuck in low gear ahead of Brexit, official data showed.","2019-03-12"
"67","Brexit set to hurt UK investment for years - BoE's Haskel","British business investment will probably stay weak for the next few years because of uncertainty linked to Brexit, a Bank of England interest-rate setter said, calling into question suggestions of a Brexit deal ""dividend"" by the finance minister.","2019-03-11"
"68","Pre-recession signals lurk in UK jobs data - research","Beneath the headline figures showing a strong British labour market, the ebb and flow of jobs and businesses being created and destroyed is showing a pattern associated with the onset of recession, research suggested on Monday.","2019-03-11"
"69","UK firms hold off on permanent hires as Brexit nears - survey","British employers held off from hiring permanent staff in February, adding to signs of growing nerves ahead of Brexit in the country's otherwise strong labour market, a survey of recruiters showed on Friday.","2019-03-08"
"70","BoE most likely to cut rates in a no-deal Brexit - Tenreyro","The Bank of England is more likely to cut interest rates than raise them in the event of a no-deal Brexit, rate-setter Silvana Tenreyro said, the latest BoE official to back the idea of coming to the economy's rescue if it suffers a Brexit shock.","2019-03-08"
"71","Sterling to slide to $1.20 if no Brexit deal agreed - Reuters poll","Sterling would lose around 9 percent of its current value against the dollar and trade at $1.20 in the immediate aftermath of Britain leaving the EU without a deal, a Reuters poll of foreign exchange strategists predicted.","2019-03-07"
"72","UK house prices show surprise spike higher in February - Halifax","British house prices showed their biggest monthly jump since at least the 1980s in February, leaping by 5.9 percent from January, data from mortgage lender Halifax showed on Thursday.","2019-03-07"
"73","Bank of England's Saunders sees no rush to raise rates amid Brexit unknowns","The Bank of England should wait and see how Brexit unfolds before deciding its next move on interest rates, given that inflation is ""reasonably well behaved"" and economic growth is modest, rate-setter Michael Saunders said on Wednesday.","2019-03-06"
"74","BoE's inflation view suggests market underestimated rate hikes - Carney","Bank of England Governor Mark Carney said the fact that the central bank's most recent economic forecasts showed inflation above the BoE's target over its three-year forecast period meant investors had not priced in enough monetary tightening ahead.","2019-03-05"
"75","UK economy near standstill as Brexit approaches, surveys show","Britain's economy came close to stagnating again in February as services companies, preparing for Brexit, cut staff at the fastest rate in more than seven years and consumers reined in their spending, surveys showed on Tuesday.","2019-03-05"
"76","UK shoppers slow their spending ahead of Brexit, some stockpile","British consumers reined in their spending in February ahead of  Brexit as shoppers focussed on buying food, including for stock-piling, rather than non-essential items, data released on Tuesday showed.","2019-03-05"
"77","UK new car sales rise 1.4 percent in February - SMMT","British new car registrations rose 1.4 percent last month, boosted by rising sales of petrol and alternative-fuelled cars, according to data from a car industry body.","2019-03-05"
"78","UK construction activity falls for first time in 11 months - PMI","Britain's construction industry reported the first fall in activity in almost a year last month, as Brexit uncertainty and a slow housing market delayed new building projects.","2019-03-04"
"79","UK factories brace for Brexit, but consumers less worried","British factories are cutting jobs and bracing for Brexit by stockpiling goods at a record pace, but consumers seem less worried, suggesting their spending might help to shore up the economy, data showed on Friday.","2019-03-01"
"80","UK borrowers, defying Brexit nerves, regain appetite for credit","LONDON - British households took out more mortgages and increased their borrowing in January, adding to signs that consumers are less worried about Brexit than many businesses, Bank of England data showed.","2019-03-01"
"81","Bank of England finds newspaper beats market as economic guide","Flicking through the business pages of The Guardian newspaper could be a better guide to how Britain's economy is faring than following stock market moves, Bank of England research shows.","2019-02-28"
"82","UK car output slumps 18 percent in January","British new car production nosedived 18.2 percent in January, the eighth successive month of annual declines, due to model changes and weaker demand both in Britain and major export markets, an automotive industry body said on Thursday.","2019-02-28"
"83","UK consumers show 'amazing' stoicism before Brexit - GfK","British households are showing ""amazing"" stoicism as the country heads for Brexit, a market research company said on Thursday as its measure of consumer confidence edged up in February.","2019-02-28"
"84","UK house prices remain sluggish as Brexit nears - Nationwide","British house prices rose by 0.4 percent in annual terms in February, only a small pick-up after they stagnated in January as the approach of Brexit weighs on the economy, data from mortgage lender Nationwide showed on Thursday.","2019-02-28"
"85","UK employers' confidence in economy slides before Brexit - REC","British employers' confidence in the economy has fallen sharply ahead of Brexit, hammering hiring and investment intentions, an industry survey showed on Wednesday.","2019-02-27"
"86","Bank of England likely to help economy after no-deal Brexit - Carney","Bank of England Governor Mark Carney said on Tuesday the BoE would probably give more support to the economy if it suffers the shock of a no-deal Brexit, but that the options available to the British central bank would be limited.","2019-02-26"
"87","UK mortgage approvals and credit growth pick up in January - UK Finance","British banks approved the most mortgages in January since September 2017 and consumer credit grew at its fastest pace in nearly a year, an industry survey showed on Tuesday.","2019-02-26"
"88","UK services industry gloomiest since 2009 crisis - CBI","Britain's services industry is its gloomiest since the 2009 financial crisis, due to an ""unmistakably negative"" impact from Brexit uncertainty, the Confederation of British Industry said on Monday.","2019-02-25"
"89","UK bank CEOs paid 120 times as much as average employee","The top bosses of Britain's biggest banks are paid on average 120 times more than the median pay of their U.K. employees, bank documents have shown, as a new rule puts pay disparities at the country's big businesses under sharper scrutiny.","2019-02-25"
"90","UK public inflation expectations match 5-year high - Citi/YouGov","The British public's expectations for inflation over the next 12 months jumped in February to their joint-highest level in five years, possibly due to fears about the effects of Brexit on prices, a monthly survey for U.S. bank Citi showed on Friday.","2019-02-22"
"91","UK retailers curb investment plans ahead of Brexit - CBI","British retailers plan the least investment in seven years ahead of the country's departure from the European Union, and job cuts in the sector have gathered pace, a major survey showed on Friday.","2019-02-22"
"92","No-deal Brexit would take a chip off UK home values - Reuters poll","Britain's over-valued housing market will undergo a modest correction if the country leaves the European Union at the end of next month without a deal, a Reuters poll found, with London being affected to a greater degree.","2019-02-22"
"93","Remain or leave? Carmakers confront hard Brexit choices","In three cavernous former Royal Air Force hangars at an old airbase in Wales, luxury carmaker Aston Martin is forging ahead with construction of a new vehicle assembly plant.","2019-02-21"
"94","UK posts record budget surplus in January, boosting Hammond before budget update","Britain posted its biggest budget surplus on record in January despite a slowing economy, putting finance minister Philip Hammond on course to announce the lowest annual borrowing since 2002 in a fiscal update due just before Brexit next month.","2019-02-21"
"95","UK manufacturers see stronger orders, average output growth - CBI","British factory orders picked up this month after dipping in January, and output is expected to be solid as Britain leaves the European Union, a survey from the Confederation of British Industry showed on Wednesday.","2019-02-20"
"96","UK jobs market defies economy's Brexit slowdown","British workers' pay growth maintained its fastest pace in a decade in late 2018 and job creation stayed strong, data showed, suggesting the labour market was buoyant ahead of Brexit as the broader economy slowed.","2019-02-19"
"97","UK household sentiment at 11-month low on job fears - IHS Markit","British households grew more downbeat about their finances this month as job worries rose to the highest in over a year, reflecting a slowing economy and uncertain prospects for Brexit in less than six weeks' time.","2019-02-18"
"98","UK property asking prices rise by least since 2009 - Rightmove","Asking prices for British homes rose by the least in a decade over the past year, property website Rightmove said on Monday, adding to signs of a slowing housing market ahead of Brexit.","2019-02-18"
"99","UK retail sales bounce as shoppers flock to January sales","British retail sales rebounded strongly in January as steep clothing discounts attracted wary shoppers, bucking a slowdown in consumer spending ahead of Brexit.","2019-02-15"
"100","Bank of England's Vlieghe scales back rate hike view","The Bank of England can probably raise interest rates only around once a year, given the weakening of the economy in Britain and around the world, and even that slow pace might be too much, a top policymaker at the central bank said.","2019-02-14"
"101","UK house price outlook darkest since 2011 - RICS","British property surveyors are the most downbeat about the short-term outlook for house prices in nearly eight years, and sellers are shying away from putting homes on the market in the run-up to Brexit, a survey showed on Thursday.","2019-02-14"
"102","UK inflation falls to two-year low, offering households help before Brexit","British inflation fell to a two-year low in January, dipping below the Bank of England's target and offering some relief to consumers who have tightened their belts ahead of Brexit.","2019-02-13"
"103","Bets of UK rate rise dip after soft inflation data","Market expectations of an interest rate hike by the Bank of England this year dipped further after inflation fell to a two-year low in January.","2019-02-13"
"104","UK economy to make modest post-Brexit recovery if deal agreed - economists","Britain's economy will barely grow in the run-up to Brexit amid concern the UK will leave the European Union without an agreement, but if there is a deal there will be a modest post-divorce upturn, according to economists polled by Reuters.","2019-02-13"
"105","Bank of England's Carney spells out no-deal Brexit hit to UK","Bank of England Governor Mark Carney warned on Tuesday of the potential shock to Britain's economy from Brexit which could serve as an ""acid test"" for countries around the world trying to respond to the challenges of globalisation.","2019-02-12"
"106","Carney says UK would suffer hit without Brexit deal","Bank of England Governor Mark Carney said there would be a hit to Britain's economy in the short-term if the country leaves the European Union next month without a deal to smooth its transition.","2019-02-12"
"107","MPs and peers ramp up call to fix flawed inflation measure","British lawmakers stepped up calls to lower an outdated inflation measure used for repayments of government bonds, which could reduce payments to investors by £1 billion a year.","2019-02-12"
"108","Fox says Brexit is not the only reason for GDP slowdown","Britain's economic slowdown should not be blamed entirely on Brexit, British Trade Minister Liam Fox said on Monday after data showed the economy last year grew at its slowest since 2012.","2019-02-12"
"109","UK economy at weakest since 2012, as Brexit, global worries bite","Britain's economy slowed sharply in late 2018, pushing annual growth to a six-year low as worries about Brexit hammered business investment and a weakening global economy weighed on trade, data showed on Monday.","2019-02-12"
"110","UK budget surplus goal no longer credible - lawmakers","Britain's Chancellor of the Exchequer Philip Hammond's plan to turn the country's budget deficit into a surplus in the mid-2020s is no longer credible after he relaxed his grip on public spending last year, British lawmakers said on Tuesday.","2019-02-12"
"111","UK public services face post-Brexit squeeze, forecasters warn","Many British public services risk ongoing real-terms cuts for years to come, despite a softer fiscal stance from finance minister Philip Hammond, a major think tank predicted ahead of a half-yearly budget update next month.","2019-02-11"
"112","Brexit referendum spurs British companies into investing in EU - research","The 2016 Brexit vote spurred British companies into increasing investment in European Union countries sharply, likely at the expense of spending at home, an academic study showed on Monday.","2019-02-11"
"113","UK firms hire fewer permanent staff for first time since 2016 - REC","British employers cut the number of staff they hired through recruitment agencies last month for the first time since July 2016, according to a survey of recruiters that adds to mounting evidence of business caution ahead of Brexit.","2019-02-08"
"114","Bank of England sees weakest UK outlook since 2009 on Brexit, global slowdown","The Bank of England said Britain faces its weakest economic growth in a decade this year as uncertainty over Brexit mounts and the global economy slows, but interest rates will eventually rise if an EU divorce deal is done.","2019-02-07"
"115","Bank of England's Carney speaks after leaving rates on hold","The Bank of England said Britain faced its weakest economic growth in 10 years in 2019, blaming mounting Brexit uncertainty and the global slowdown.","2019-02-07"
"116","UK house price growth cools again in January - Halifax","British annual house price growth resumed its slowing trend in January after a short-lived pickup in December, mortgage lender Halifax said on Thursday, adding to other signs of a tepid housing market ahead of Brexit.","2019-02-07"
"117","Brexit, global slowdown to weigh on Bank of England","LONDON - The Bank of England looks set to trim its forecasts for Britain's already sluggish growth on Thursday, reflecting the approach of a still uncertain Brexit in just 50 days' time and a slowdown in many of the world's big economies.","2019-02-07"
"118","UK house builders show caution as Brexit approaches - NHBC","British construction firms are making a cautious start to 2019 after slowing their house-building plans late last year in the face of Brexit uncertainty, an industry body said on Thursday.","2019-02-07"
"119","Sterling to slump on no-deal Brexit, rise a bit on orderly exit - Reuters poll","Sterling will gain between 2 and 5 percent if Britain parts ways with the European Union with a divorce deal but will slide between 5 and 10 percent in the event of a disorderly Brexit, a Reuters poll found on Wednesday.","2019-02-06"
"120","Hammond set to miss key budget target - NIESR","British finance minister Philip Hammond will probably say next month that he will miss a key budget target because he will not be able to squeeze spending as much as he planned, a leading think-tank said on Wednesday.","2019-02-06"
"121","UK economy flat-lines as Brexit nears, firms cut jobs - PMI","Britain's economy risks stalling or contracting as Brexit nears and a global slowdown worsens, with firms in the dominant services sector reporting job cuts for the first time in six years and falling new orders.","2019-02-05"
"122","UK new car sales fall 1.6 percent in January","British new car registrations dropped 1.6 percent last month as a double-digit drop in demand for diesel vehicles continued to weigh down sales, according to data from a car industry body.","2019-02-05"
"123","UK shoppers cautiously up their spending in January","British consumers picked up the pace of their shopping in January which rose by the most in seven months, giving a bit of relief to retailers after their worst Christmas in a decade, a survey showed on Tuesday.","2019-02-05"
"124","Construction booming in regional UK cities - Deloitte","Construction activity in four regional cities in Britain is at a record high, including a flurry of building projects in Manchester, despite uncertainty about Brexit, accounting firm Deloitte said on Tuesday.","2019-02-05"
"125","UK plc's risk appetite at 'recessionary' level - Deloitte","Major British businesses' appetite to take on financial risk has fallen to its lowest level in nearly a decade due to fears of ""the hardest of Brexits"" and rising U.S. protectionism, a survey by accountancy firm Deloitte showed on Monday.","2019-02-04"
"126","Brexit worries put freeze on UK construction in January - PMI","Growth in Britain's construction industry ebbed in January to its weakest since icy weather beset the sector last March, as uncertainty around Brexit dragged particularly on commercial building work, a business survey showed on Monday.","2019-02-04"
"127","Rush to stockpile sweeps UK factories ahead of Brexit: PMI","British factories stockpiled goods in January at the fastest rate since records began in the early 1990s as they braced for a potentially chaotic Brexit in less than two months' time, a business survey showed on Friday.","2019-02-01"
"128","Relocation on agenda for nearly one-in-three UK firms due to Brexit - IoD","Brexit has prompted almost a third of British companies to move some operations abroad or at least consider it, a survey from an employers group showed on Friday.","2019-02-01"
"129","UK car output falls at fastest rate since recession","British car production fell by 9 percent last year, the biggest drop since the 2008-9 recession, and investment slumped by nearly half due to fears about Brexit, an industry body said on Thursday.","2019-01-31"
"130","UK consumer morale stuck at lowest since 2013 as Brexit nears","British consumers remained their gloomiest in five-and-a-half years this month as a small improvement in their personal finances offset growing concern about the outlook for the next 12 months, when Britain is due to leave the European Union.","2019-01-31"
"131","UK house prices stagnate ahead of Brexit - Nationwide","British house prices rose by just 0.1 percent in annual terms in January, their weakest increase in nearly six years, adding to signs of a slowdown in the country's housing market ahead of Brexit, data from mortgage lender Nationwide showed.","2019-01-31"
"132","UK consumers rein in appetite for borrowing as Brexit nears","- Lending to British consumers grew at its slowest pace in four years in December, Bank of England data showed on Wednesday, underscoring the loss of momentum in the economy ahead of Brexit.","2019-01-30"
"133","UK shop prices rise at fastest pace in nearly six years - BRC","LONDON - Prices in shops in Britain rose by the most in nearly six years in January, but inflation is not a big risk as long as the country can avoid a no-deal Brexit, a group representing retailers said on Wednesday.","2019-01-30"
"134","UK public inflation expectations fall sharply in January - Citi/YouGov","The British public's expectations of future inflation have fallen sharply this month, though uncertainty about the future path of inflation has risen due to the unclear prospects for sterling from the Brexit process, a monthly survey showed.","2019-01-30"
"135","Bets on a 2019 BoE rate hike drop on Brexit uncertainty","Interest rate swap markets have cut expectations of a quarter-point rate hike from the Bank of England by the end of 2019  to 52 percent on Wednesday, compared to a previous 64 percent expectation.","2019-01-30"
"136","'Get a grip on Brexit', businesses tell UK's quarrelling politicians","British businesses implored politicians on Monday to stop quarrelling over Brexit and agree an orderly exit from the European Union, as some big firms set up emergency situations rooms to cope with the possible tumult of a no-deal divorce.","2019-01-28"
"137","UK retail sales steady in January after weak Christmas, big picture weak - CBI","British retail sales stagnated in January following a sharp fall in December, according to an industry survey on Friday that underlined tough trading conditions for retailers ahead of Brexit.","2019-01-25"
"138","UK mortgage lending slows in December - UK Finance","British banks approved fewer mortgages last month than in November and the value of lending for home purchases rose by the smallest amount since 2016, an industry survey showed on Friday.","2019-01-25"
